Date,Open,High,Low,Close,Volume,Change
2017-05-05,11.78,11.75,11.95,11.6,-,0.51%
2017-05-04,11.72,12.09,12.3,11.65,137.12K,-2.90%
2017-05-03,12.07,11.85,12.2,11.83,96.66K,2.12%
2017-05-02,11.82,11.8,12.05,11.7,100.80K,0.00%
2017-05-01,11.82,12.2,12.35,11.65,108.49K,-3.75%
2017-04-28,12.28,12.37,12.5,12.2,107.38K,-0.81%
2017-04-27,12.38,12.4,12.5,12.25,92.68K,0.00%
2017-04-26,12.38,12.45,12.7,12.3,131.94K,-0.72%
2017-04-25,12.47,12.65,12.85,12.23,148.93K,-1.66%
2017-04-24,12.68,13.75,13.8,12.6,238.51K,-11.45%
2017-04-21,14.32,14.3,14.65,14.15,132.09K,0.00%
2017-04-20,14.32,14.55,14.7,14.1,142.81K,-1.72%
2017-04-19,14.57,14.35,14.75,13.95,146.06K,-1.02%
2017-04-18,14.72,15.05,15.7,14.65,105.90K,-2.32%
2017-04-17,15.07,16.4,16.5,15.05,76.47K,-7.66%
2017-04-13,16.32,16.3,16.65,15.67,138.13K,0.31%
2017-04-12,16.27,16.0,16.5,15.75,143.79K,1.88%
2017-04-11,15.97,15.0,16.45,14.9,203.46K,6.25%
2017-04-10,15.03,14.03,15.05,13.75,146.96K,7.13%
2017-04-07,14.03,13.55,14.25,13.47,168.14K,3.39%
2017-04-06,13.57,13.88,14.0,13.1,121.18K,-2.23%
2017-04-05,13.88,13.23,13.95,12.85,125.97K,4.99%
2017-04-04,13.22,13.5,13.75,13.1,97.70K,-1.86%
2017-04-03,13.47,13.28,14.05,13.05,140.10K,1.43%
2017-03-31,13.28,12.85,13.3,12.8,100.25K,3.59%
2017-03-30,12.82,12.95,13.15,12.75,102.60K,-0.85%
2017-02-22,13.2,13.45,13.0,13.22,98.83K,0.30%
2017-02-21,13.25,13.25,12.75,13.18,100.68K,1.15%
2017-02-20,13.03,13.05,12.88,13.03,-,-0.31%
2017-02-19,13.07,13.07,13.03,13.07,-,-0.38%
2017-02-17,13.0,13.38,12.95,13.12,135.62K,1.16%
2017-02-16,12.85,13.7,12.75,12.97,179.91K,0.70%
2017-02-15,12.3,12.95,12.25,12.88,197.13K,15.21%
2017-02-14,11.4,11.55,11.05,11.18,106.85K,-2.19%
2017-02-13,11.7,11.75,11.35,11.43,99.09K,-2.47%
2017-02-10,12.05,12.1,11.7,11.72,90.94K,-2.58%
2017-02-09,12.55,12.6,11.9,12.03,116.70K,-4.30%
2017-02-08,12.6,12.85,12.43,12.57,104.51K,0.00%
2017-02-07,12.45,12.65,12.25,12.57,91.28K,0.80%
2017-02-06,12.45,12.85,12.3,12.47,93.85K,0.00%
2017-02-03,12.92,13.1,12.25,12.47,93.36K,-3.56%
2017-02-02,12.7,13.2,12.67,12.93,85.97K,1.97%
2017-02-01,12.95,13.0,12.48,12.68,106.37K,-1.93%
2017-01-31,12.9,13.45,12.85,12.93,113.98K,0.39%
2017-01-30,12.7,13.65,12.65,12.88,143.70K,2.79%
2017-01-27,12.7,12.85,12.5,12.53,67.49K,-1.18%
2017-01-26,12.7,12.95,12.6,12.68,77.41K,-0.31%
2017-01-25,13.0,13.0,12.6,12.72,91.47K,-2.38%
2017-01-24,13.6,13.7,12.9,13.03,97.45K,-3.98%
2017-01-23,13.85,14.1,13.55,13.57,89.66K,-1.81%
2017-01-20,14.25,14.35,13.7,13.82,121.67K,-2.81%
2017-01-19,14.2,14.5,14.05,14.22,102.14K,0.28%
2017-01-18,14.2,14.35,13.95,14.18,134.42K,16.42%
2017-01-17,12.25,12.79,11.75,12.18,123.81K,0.00%
2017-01-13,12.45,12.65,12.14,12.18,110.18K,-2.33%
2017-01-12,12.55,13.35,12.35,12.47,132.75K,-0.48%
2017-01-11,12.85,13.25,12.45,12.53,119.63K,-2.72%
2017-01-10,12.95,13.2,12.75,12.88,93.07K,-0.39%
2017-01-09,12.85,13.2,12.73,12.93,85.26K,0.39%
2017-01-06,13.05,13.15,12.6,12.88,87.23K,-1.15%
2017-01-05,13.2,13.59,13.0,13.03,72.70K,-1.14%
2017-01-04,13.8,13.89,12.95,13.18,90.64K,-4.35%
2017-01-03,14.8,15.0,13.75,13.78,113.21K,-7.39%
2017-01-02,14.88,14.93,14.82,14.88,-,-1.59%
2016-12-30,14.85,15.37,14.55,15.12,72.16K,2.02%
2016-12-29,14.6,15.05,14.5,14.82,56.11K,1.37%
2016-12-28,14.05,14.65,13.94,14.62,73.78K,4.65%
2016-12-27,14.3,14.33,13.95,13.97,43.96K,-2.17%
2016-12-26,14.32,14.32,14.28,14.28,-,0.00%
2016-12-23,14.25,14.45,14.2,14.28,53.73K,0.00%
2016-12-22,14.07,14.4,14.0,14.28,81.56K,1.78%
2016-12-21,14.2,14.3,14.0,14.03,83.49K,21.26%
2016-12-20,12.15,12.2,11.4,11.57,98.53K,-4.54%
2016-12-19,12.85,12.85,12.0,12.12,90.10K,-4.72%
2016-12-16,13.1,13.15,12.65,12.72,106.53K,-2.38%
2016-12-15,13.45,13.6,13.0,13.03,109.16K,-2.98%
2016-12-14,13.3,13.65,12.84,13.43,147.36K,1.13%
2016-12-13,13.4,13.72,13.17,13.28,103.60K,-1.12%
2016-12-12,13.05,13.5,12.85,13.43,76.75K,3.07%
2016-12-09,13.4,13.8,13.0,13.03,79.59K,-2.98%
2016-12-08,13.32,13.91,13.05,13.43,129.62K,0.83%
2016-12-07,13.15,13.45,12.75,13.32,110.68K,1.52%
2016-12-06,13.55,13.75,13.05,13.12,91.32K,-3.03%
2016-12-05,15.3,15.71,13.5,13.53,138.16K,-10.22%
2016-12-02,15.05,15.36,14.5,15.07,97.03K,0.27%
2016-12-01,14.5,15.4,14.25,15.03,126.01K,3.44%
2016-11-30,14.3,14.51,14.05,14.53,94.64K,1.75%
2016-11-29,14.48,14.65,14.09,14.28,59.67K,-1.04%
2016-11-28,14.3,14.75,14.3,14.43,84.82K,0.77%
2016-11-25,14.4,14.53,14.25,14.32,43.88K,0.00%
2016-11-24,14.45,14.53,14.32,14.32,-,-0.76%
2016-11-23,14.45,14.7,14.3,14.43,71.85K,0.00%
2016-11-22,14.45,14.75,14.2,14.43,96.86K,-0.28%
2016-11-21,14.95,15.06,14.25,14.47,76.51K,-3.34%
2016-11-18,15.05,15.45,14.9,14.97,99.48K,-0.40%
2016-11-17,15.6,15.65,15.0,15.03,110.22K,-3.47%
2016-11-16,15.3,15.8,15.25,15.57,128.95K,17.95%
2016-11-15,14.5,14.65,13.15,13.2,76.93K,-8.78%
2016-11-14,14.9,15.45,14.45,14.47,100.59K,-3.08%
2016-11-11,15.35,16.3,14.75,14.93,119.64K,-2.55%
2016-11-10,14.9,16.5,13.95,15.32,191.78K,2.96%
2016-11-09,15.95,23.46,14.8,14.88,289.64K,-6.83%
2016-11-08,16.05,16.9,15.75,15.97,142.04K,-0.31%
2016-11-07,17.35,17.5,16.0,16.02,148.36K,-17.08%
2016-11-04,19.75,19.8,18.45,19.32,167.95K,-2.28%
2016-11-03,18.5,19.85,18.19,19.77,149.66K,6.75%
2016-11-02,17.85,18.57,17.7,18.52,146.61K,3.93%
2016-11-01,17.25,18.78,16.97,17.82,173.33K,3.42%
2016-10-31,16.7,17.35,16.35,17.23,109.71K,3.67%
2016-10-28,16.05,17.08,15.74,16.62,181.93K,3.42%
2016-10-27,15.6,16.15,15.25,16.07,116.80K,2.88%
2016-10-26,15.2,15.75,15.18,15.62,108.27K,2.63%
2016-10-25,14.9,15.4,14.85,15.22,86.37K,1.94%
2016-10-24,15.55,15.69,14.9,14.93,83.07K,-4.11%
2016-10-21,15.8,16.13,15.45,15.57,94.81K,-1.33%
2016-10-20,16.1,16.4,15.75,15.78,96.76K,-1.80%
2016-10-19,16.6,16.65,16.0,16.07,112.04K,2.49%
