Date,Open,High,Low,Close,Volume,Adj Close
2017-03-01,17.620001,18.07,17.51,18.049999,51125600,18.049999
2017-02-28,18.08,18.549999,17.959999,18.42,44776200,18.42
2017-02-27,18.08,18.24,17.59,17.98,38829200,17.98
2017-02-24,18.969999,19.059999,18.02,18.09,53447700,18.09
2017-02-23,17.870001,18.58,17.82,18.280001,56759600,18.280001
2017-02-22,17.90,18.16,17.610001,17.84,42930600,17.84
2017-02-21,17.299999,17.83,17.24,17.76,40944000,17.76
2017-02-17,17.93,18.049999,17.469999,17.540001,46557900,17.540001
2017-02-16,17.41,18.40,17.379999,17.50,77935100,17.50
2017-02-15,16.870001,17.459999,16.76,17.41,60289700,17.41
2017-02-14,17.610001,17.639999,16.860001,16.879999,51614800,16.879999
2017-02-13,17.889999,17.940001,17.559999,17.639999,45276100,17.639999
2017-02-10,18.299999,18.34,18.08,18.209999,44295400,18.209999
2017-02-09,18.879999,18.879999,18.32,18.52,36782000,18.52
2017-02-08,19.049999,19.27,18.76,18.879999,40954400,18.879999
2017-02-07,18.790001,19.00,18.74,18.98,28640600,18.98
2017-02-06,19.030001,19.09,18.719999,18.799999,31887100,18.799999
2017-02-03,18.84,18.959999,18.620001,18.82,33091500,18.82
2017-02-02,19.24,19.41,19.040001,19.200001,32594600,19.200001
2017-02-01,19.030001,19.33,18.85,19.10,41475700,19.10
2017-01-31,19.67,20.030001,19.389999,19.42,50426100,19.42
2017-01-30,19.35,20.32,19.35,19.50,65683200,19.50
2017-01-27,19.110001,19.290001,18.889999,18.969999,27489300,18.969999
2017-01-26,19.15,19.40,18.969999,19.17,33506000,19.17
2017-01-25,19.25,19.35,19.00,19.09,38757400,19.09
2017-01-24,20.26,20.290001,19.450001,19.559999,40567200,19.559999
2017-01-23,20.709999,21.10,20.50,20.50,39327700,20.50
2017-01-20,21.299999,21.379999,20.68,20.709999,54904000,20.709999
2017-01-19,21.16,21.73,21.10,21.540001,36279300,21.540001
2017-01-18,21.23,21.41,20.98,21.309999,39161900,21.309999
2017-01-17,21.75,21.82,21.290001,21.389999,35053000,21.389999
2017-01-13,21.299999,21.700001,21.16,21.450001,35357100,21.450001
2017-01-12,21.59,22.51,21.379999,21.40,52678400,21.40
2017-01-11,21.91,22.34,21.35,21.440001,40813500,21.440001
2017-01-10,21.799999,22.209999,21.629999,21.90,28112100,21.90
2017-01-09,22.200001,22.41,21.700001,22.040001,28951000,22.040001
2017-01-06,22.16,22.35,21.629999,22.129999,39296500,22.129999
2017-01-05,22.65,23.08,22.360001,22.40,28020200,22.40
2017-01-04,23.42,23.43,22.209999,22.48,35135000,22.48
2017-01-03,24.48,24.66,23.639999,23.700001,38421600,23.700001
2016-12-30,24.74,25.790001,24.73,25.51,33506800,25.51
2016-12-29,24.700001,25.34,24.48,25.00,26478800,25.00
2016-12-28,23.700001,24.690001,23.620001,24.620001,28194500,24.620001
2016-12-27,24.110001,24.139999,23.719999,23.82,14016200,23.82
2016-12-23,24.35,24.48,24.10,24.15,14080100,24.15
2016-12-22,23.84,24.389999,23.74,24.27,23696000,24.27
2016-12-21,24.09,24.16,23.799999,23.83,20706000,23.83
2016-12-20,24.48,24.540001,24.10,24.25,25677900,24.25
2016-12-19,25.33,25.34,24.67,24.719999,28318200,24.719999
2016-12-16,25.59,25.99,25.450001,25.610001,30014500,25.610001
2016-12-15,25.92,26.32,25.719999,25.969999,31925300,25.969999
2016-12-14,26.549999,26.65,25.540001,26.309999,61242500,26.309999
2016-12-13,26.110001,26.870001,26.02,26.41,29648700,26.41
2016-12-12,26.00,26.450001,25.93,26.17,26443100,26.17
2016-12-09,26.50,26.540001,25.879999,25.969999,29789300,25.969999
2016-12-08,26.26,27.18,26.10,26.280001,45368900,26.280001
2016-12-07,26.02,26.370001,25.51,26.219999,40282700,26.219999
2016-12-06,26.549999,26.75,26.00,26.15,29614400,26.15
2016-12-05,27.959999,28.08,26.959999,27.030001,37618700,27.030001
2016-12-02,29.120001,29.280001,28.15,28.969999,34417600,28.969999
2016-12-01,27.83,29.48,27.73,28.959999,37704600,28.959999
2016-11-30,27.48,28.040001,27.40,27.889999,31634200,27.889999
2016-11-29,28.09,28.360001,27.48,27.879999,23577100,27.879999
2016-11-28,28.15,28.549999,27.83,28.059999,27225200,28.059999
2016-11-25,27.93,28.200001,27.790001,27.82,9939400,27.82
2016-11-23,28.200001,28.450001,27.879999,27.98,24961200,27.98
2016-11-22,27.76,28.559999,27.639999,27.91,32275000,27.91
2016-11-21,28.719999,28.74,27.709999,27.780001,27309100,27.780001
2016-11-18,29.17,29.559999,28.889999,29.059999,33977600,29.059999
2016-11-17,30.049999,30.16,29.209999,29.23,30377900,29.23
2016-11-16,30.530001,30.559999,29.790001,30.10,33266400,30.10
2016-11-15,30.950001,31.33,29.940001,29.940001,35063700,29.940001
2016-11-14,31.60,32.459999,31.129999,31.290001,42433500,31.290001
2016-11-11,32.68,33.09,31.299999,31.440001,47981600,31.440001
2016-11-10,30.459999,33.27,30.190001,32.16,88606500,32.16
2016-11-09,33.970001,34.029999,30.91,31.40,98675100,31.40
2016-11-08,33.369999,33.77,32.00,32.18,38824900,32.18
2016-11-07,34.66,35.029999,33.119999,33.189999,41722500,33.189999
2016-11-04,37.470001,38.18,36.48,37.939999,55452800,37.939999
2016-11-03,35.91,38.369999,35.709999,37.880001,48656100,37.880001
2016-11-02,35.310001,36.27,35.119999,35.919998,49348700,35.919998
2016-11-01,34.139999,36.77,34.139999,35.110001,58916000,35.110001
2016-10-31,33.240002,34.380001,33.150002,34.139999,30378700,34.139999
2016-10-28,32.169998,34.00,31.780001,33.43,61982700,33.43
2016-10-27,31.02,32.200001,30.99,32.040001,30460500,32.040001
2016-10-26,31.450001,31.700001,30.83,31.469999,29333200,31.469999
2016-10-25,30.469999,31.16,30.42,30.73,25842800,30.73
2016-10-24,30.879999,30.91,30.34,30.450001,23384800,30.450001
2016-10-21,32.450001,32.610001,31.530001,31.57,27212400,31.57
2016-10-20,32.759998,33.110001,32.150002,32.279999,37916500,32.279999
2016-10-19,32.779999,33.220001,32.439999,32.700001,32607200,32.700001
2016-10-18,33.919998,34.18,33.41,33.50,27444900,33.50
2016-10-17,34.830002,35.349998,34.650002,34.889999,28435900,34.889999
2016-10-14,34.400002,35.290001,34.139999,35.060001,41196700,35.060001
2016-10-13,35.689999,36.630001,34.91,35.41,58700100,35.41
2016-10-12,34.16,34.77,33.540001,34.369999,37555600,34.369999
2016-10-11,32.759998,34.82,32.709999,34.279999,52543200,34.279999
2016-10-10,32.860001,32.98,32.27,32.540001,20330800,32.540001
2016-10-07,33.040001,33.970001,32.880001,33.279999,37301500,33.279999
2016-10-06,33.599998,33.849998,33.07,33.200001,27544400,33.200001
2016-10-05,33.369999,33.619999,33.200001,33.50,25106800,33.50
2016-10-04,33.610001,34.619999,33.09,33.77,54864200,33.77
2016-10-03,34.41,34.700001,33.75,33.889999,29951300,33.889999
2016-09-30,34.259998,34.869999,33.610001,34.07,42525100,34.07
2016-09-29,33.509998,36.639999,33.00,35.389999,80473500,35.389999
2016-09-28,33.509998,34.68,33.27,33.34,40950100,33.34
2016-09-27,35.599998,35.880001,33.48,33.709999,38331600,33.709999
2016-09-26,35.040001,36.00,34.82,35.619999,40531100,35.619999
2016-09-23,33.700001,33.990002,33.360001,33.799999,31965700,33.799999
2016-09-22,33.740002,34.139999,33.400002,33.560001,39635300,33.560001
2016-09-21,37.080002,37.610001,34.490002,34.66,58810100,34.66
2016-09-20,37.00,38.220001,36.970001,37.639999,33157400,37.639999
2016-09-19,37.560001,38.669998,36.77,37.900002,45050900,37.900002
2016-09-16,40.200001,40.919998,38.650002,38.91,47077900,38.91
2016-09-15,40.880001,41.599998,38.900002,39.380001,51833200,39.380001
2016-09-14,40.549999,41.470001,38.869999,40.889999,73083700,40.889999
2016-09-13,37.759998,42.41,37.630001,41.080002,109756300,41.080002
2016-09-12,39.290001,39.709999,35.880001,36.279999,71897000,36.279999
2016-09-09,34.84,38.950001,34.689999,38.889999,79180900,38.889999
2016-09-08,33.43,33.93,33.330002,33.509998,22188500,33.509998
2016-09-07,33.880001,33.98,33.32,33.41,20757800,33.41
2016-09-06,34.470001,34.799999,33.82,33.880001,24176100,33.880001
2016-09-02,35.330002,35.470001,34.75,34.799999,31940100,34.799999
2016-09-01,36.049999,37.02,35.900002,36.09,30792900,36.09
2016-08-31,36.169998,37.169998,36.00,36.240002,24193400,36.240002
2016-08-30,36.200001,36.700001,35.919998,36.09,23453300,36.09
2016-08-29,36.970001,36.990002,36.130001,36.369999,20954100,36.369999
2016-08-26,36.689999,38.349998,35.66,37.110001,50951800,37.110001
2016-08-25,37.599998,37.66,36.540001,36.990002,29263300,36.990002
2016-08-24,36.32,37.360001,36.259998,36.959999,27879500,36.959999
2016-08-23,36.009998,36.25,35.779999,36.200001,21232400,36.200001
2016-08-22,36.380001,36.860001,36.110001,36.27,30973400,36.27
2016-08-19,36.349998,36.720001,35.98,36.130001,26957900,36.130001
2016-08-18,36.759998,37.02,35.959999,35.990002,25709300,35.990002
2016-08-17,37.459999,38.439999,36.470001,36.580002,36592100,36.580002
2016-08-16,37.049999,37.830002,37.029999,37.580002,26377900,37.580002
2016-08-15,36.540001,36.639999,36.16,36.34,21067300,36.34
2016-08-12,37.299999,37.77,36.66,36.950001,30212100,36.950001
2016-08-11,37.029999,37.50,36.529999,37.290001,27717600,37.290001
2016-08-10,36.57,38.209999,36.299999,37.470001,29852700,37.470001
2016-08-09,36.709999,37.200001,35.880001,36.560001,13481100,36.560001
2016-08-08,9.40,9.45,9.30,9.30,46298800,9.30
2016-08-05,9.61,9.63,9.39,9.52,15878200,9.52
2016-08-04,10.01,10.12,9.78,9.87,12968900,9.87
2016-08-03,10.42,10.53,10.13,10.14,13403100,10.14
2016-08-02,10.13,10.71,10.06,10.39,22123600,10.39
2016-08-01,10.11,10.28,9.88,10.02,16463600,10.02
2016-07-29,10.55,10.58,10.10,10.18,14469500,10.18
2016-07-28,10.81,10.93,10.49,10.56,13218300,10.56
2016-07-27,10.87,11.18,10.65,10.75,17323200,10.75
2016-07-26,11.11,11.33,11.00,11.00,13464700,11.00
2016-07-25,11.10,11.54,11.02,11.11,15882500,11.11
2016-07-22,11.38,11.46,11.05,11.17,13801200,11.17
