Date,Open,High,Low,Close,Volume,Adj Close
2017-03-07,19040,19090,18940,19020,13914,19020
2017-03-06,18670,18740,18570,18570,12211,18570
2017-03-03,18440,18470,18270,18270,6034,18270
2017-03-02,18700,18700,18290,18340,7634,18340
2017-03-01,17860,18490,17860,18460,12280,18460
2017-02-28,18030,18310,18030,18270,14104,18270
2017-02-27,17970,18030,17850,17920,7237,17920
2017-02-24,17700,17790,17560,17570,10481,17570
2017-02-23,18370,18440,18180,18210,27848,18210
2017-02-22,18700,18790,18530,18750,7590,18750
2017-02-21,18850,18980,18810,18970,6018,18970
2017-02-20,18760,18900,18460,18900,3853,18900
2017-02-17,18830,18990,18700,18800,20456,18800
2017-02-16,19130,19290,19090,19230,22251,19230
2017-02-15,19860,20110,19860,20010,12182,20010
2017-02-14,19000,19000,18750,18780,13683,18780
2017-02-13,18570,18630,18460,18600,17193,18600
2017-02-10,17990,18100,17890,18050,16157,18050
2017-02-09,17330,17410,17300,17360,2814,17360
2017-02-08,17300,17400,17260,17350,4717,17350
2017-02-07,17300,17400,17230,17390,5468,17390
2017-02-06,17500,17530,17330,17500,10338,17500
2017-02-03,17170,17170,16990,17050,4050,17050
2017-02-02,17430,17450,16800,16800,11549,16800
2017-02-01,17050,17290,17040,17280,9160,17280
2017-01-31,17060,17400,16880,16920,35702,16920
2017-01-30,17410,17490,17340,17440,13697,17440
2017-01-27,17570,17630,17470,17490,13536,17490
2017-01-26,17280,17500,17250,17480,12254,17480
2017-01-25,17150,17160,17040,17120,17369,17120
2017-01-24,16200,16350,16160,16340,7980,16340
2017-01-23,15980,16060,15880,15930,17147,15930
2017-01-20,15730,15850,15690,15840,47886,15840
2017-01-19,15780,15890,15730,15760,20030,15760
2017-01-18,15510,15790,15510,15690,23879,15690
2017-01-17,15670,15690,15450,15450,6264,15450
2017-01-16,15660,15690,15550,15580,4885,15580
2017-01-13,15640,15840,15640,15820,11716,15820
2017-01-12,15850,15850,15490,15490,10200,15490
2017-01-11,15600,15620,15450,15540,15802,15540
2017-01-10,15460,15500,15340,15360,13005,15360
2017-01-06,15200,15330,15180,15260,12489,15260
2017-01-05,15250,15290,15100,15170,13755,15170
2017-01-04,14790,14880,14720,14880,17156,14880
2016-12-30,13800,14060,13790,13960,19091,13960
2016-12-29,14040,14110,14000,14090,10085,14090
2016-12-28,14680,14730,14650,14660,6892,14660
2016-12-27,14350,14500,14350,14470,6100,14470
2016-12-26,14510,14510,14440,14470,3630,14470
2016-12-22,14680,14690,14500,14540,10467,14540
2016-12-21,14470,14610,14450,14540,24735,14540
2016-12-20,14050,14300,14050,14290,28915,14290
2016-12-19,13840,13840,13690,13750,29184,13750
2016-12-16,13650,13730,13650,13710,9472,13710
2016-12-15,13400,13500,13390,13460,27804,13460
2016-12-14,13100,13110,12990,13080,20178,13080
2016-12-13,12950,13140,12950,13080,9724,13080
2016-12-12,13400,13440,13230,13280,22411,13280
2016-12-09,12800,12910,12800,12900,6758,12900
2016-12-08,12920,13000,12880,12950,12520,12950
2016-12-07,13040,13100,13040,13040,8387,13040
2016-12-06,12710,12730,12620,12720,46138,12720
2016-12-05,11610,11770,11560,11710,20670,11710
2016-12-02,11860,11960,11790,11890,8292,11890
2016-12-01,12300,12350,12240,12240,13711,12240
2016-11-30,12180,12210,12070,12200,29825,12200
2016-11-29,12000,12090,11990,12000,13901,12000
2016-11-28,12150,12150,11900,12060,30331,12060
2016-11-25,12210,12280,12120,12200,32215,12200
2016-11-24,12070,12110,12040,12070,37025,12070
2016-11-22,11860,12080,11840,12020,35805,12020
2016-11-21,11510,11620,11470,11560,17763,11560
2016-11-18,11330,11390,11280,11300,23220,11300
2016-11-17,10970,11050,10850,11000,16016,11000
2016-11-16,11010,11150,11010,11030,77693,11030
2016-11-15,10500,10650,10480,10640,40255,10640
2016-11-14,10420,10610,10400,10550,88623,10550
2016-11-11,10140,10190,9970,10060,192221,10060
2016-11-10,9870,9870,9870,9870,70031,9870
2016-11-09,10110,10360,8370,8370,209794,8370
2016-11-08,9760,9920,9690,9870,58187,9870
2016-11-07,9520,9640,9370,9590,92391,9590
2016-11-04,8660,8850,8520,8630,107655,8630
2016-11-02,9400,9450,9110,9110,76616,9110
2016-11-01,9680,9860,9650,9820,29570,9820
2016-10-31,9790,10120,9780,10120,53792,10120
2016-10-28,10260,10350,10260,10330,19020,10330
2016-10-27,10420,10480,10360,10470,23851,10470
2016-10-26,10500,10570,10450,10570,26482,10570
2016-10-25,10800,10850,10800,10830,33643,10830
2016-10-24,10350,10380,10280,10380,47182,10380
2016-10-21,10190,10240,9970,9980,54362,9980
2016-10-20,9980,10050,9960,10000,70206,10000
2016-10-19,9760,9830,9740,9800,13668,9800
2016-10-18,9500,9620,9470,9530,15571,9530
2016-10-17,9360,9400,9240,9320,5006,9320
2016-10-14,9270,9370,9230,9340,12761,9340
2016-10-13,9530,9550,9160,9160,44679,9160
2016-10-12,9660,9750,9590,9680,23278,9680
2016-10-11,10100,10140,9990,10020,18315,10020
2016-10-07,9900,9910,9830,9840,19828,9840
2016-10-06,9850,9880,9800,9800,25058,9800
2016-10-05,9680,9730,9650,9730,21274,9730
2016-10-04,9570,9690,9570,9690,19178,9690
2016-10-03,9470,9510,9410,9430,19623,9430
2016-09-30,9180,9220,9040,9090,32805,9090
2016-09-29,9620,9700,9580,9680,20521,9680
2016-09-28,9410,9410,9300,9360,20380,9360
2016-09-27,9070,9420,8970,9410,28135,9410
2016-09-26,9530,9590,9340,9340,17114,9340
2016-09-23,9600,9670,9570,9670,109025,9670
2016-09-21,8630,8930,8580,8860,20823,8860
2016-09-20,8750,8900,8750,8850,69878,8850
2016-09-16,8340,8340,8220,8240,26219,8240
2016-09-15,8130,8180,8000,8060,32457,8060
2016-09-14,8280,8470,8250,8390,80959,8390
2016-09-13,9090,9090,8920,8920,49807,8920
2016-09-12,8630,8720,8340,8480,92072,8480
2016-09-09,10190,10220,10170,10190,7880,10190
2016-09-08,10220,10260,10200,10220,39900,10220
2016-09-07,10100,10140,10090,10130,7016,10130
2016-09-06,10030,10060,10000,10040,16722,10040
2016-09-05,10090,10150,10030,10060,19847,10060
2016-09-02,9650,9660,9590,9630,22651,9630
2016-09-01,9620,9720,9620,9690,11713,9690
2016-08-31,9610,9640,9600,9620,29480,9620
2016-08-30,9450,9500,9450,9460,16948,9460
2016-08-29,9230,9320,9230,9250,5584,9250
2016-08-26,9230,9230,9170,9220,5781,9220
2016-08-25,9080,9120,9050,9100,8192,9100
2016-08-24,9360,9400,9290,9300,5946,9300
2016-08-23,9280,9360,9280,9290,4722,9290
2016-08-22,9380,9390,9270,9280,19827,9280
2016-08-19,9400,9460,9370,9400,35330,9400
2016-08-18,9250,9350,9220,9270,26404,9270
2016-08-17,9010,9200,9010,9150,17988,9150
2016-08-16,9420,9420,9270,9290,41666,9290
2016-08-15,9340,9430,9340,9390,22527,9390
2016-08-12,9340,9350,9300,9320,11547,9320
2016-08-10,9340,9350,9300,9300,57473,9300
2016-08-09,9270,9370,9270,9340,74336,9340
2016-08-08,9120,9150,9070,9130,66608,9130
2016-08-05,8730,8770,8720,8720,13059,8720
2016-08-04,8520,8580,8490,8520,14099,8520
2016-08-03,8230,8300,8150,8150,26051,8150
2016-08-02,8730,8810,8710,8750,21985,8750
2016-08-01,8660,8840,8660,8790,76063,8790
2016-07-29,8520,8600,8220,8460,90638,8460
2016-07-28,8360,8410,8340,8400,43217,8400
2016-07-27,8190,8320,8170,8280,28856,8280
2016-07-26,8120,8150,7940,8020,49085,8020
2016-07-25,8150,8270,8120,8120,36216,8120
