Date,Open,High,Low,Close,Volume
3-Mar-17,17.83,17.84,17.44,17.54,35499141
2-Mar-17,18.05,18.25,17.69,18.06,45817874
1-Mar-17,17.62,18.07,17.51,18.05,51436702
28-Feb-17,18.08,18.55,17.96,18.42,45150289
27-Feb-17,18.08,18.24,17.59,17.98,39214867
24-Feb-17,18.97,19.06,18.02,18.09,53953011
23-Feb-17,17.87,18.58,17.82,18.28,57243052
22-Feb-17,17.90,18.16,17.61,17.84,43505507
21-Feb-17,17.30,17.83,17.24,17.76,41164676
17-Feb-17,17.93,18.05,17.47,17.54,48804719
16-Feb-17,17.41,18.40,17.38,17.50,78214308
15-Feb-17,16.87,17.46,16.76,17.41,60845895
14-Feb-17,17.61,17.64,16.86,16.88,53046211
13-Feb-17,17.89,17.94,17.56,17.64,45711822
10-Feb-17,18.30,18.34,18.08,18.21,44949577
9-Feb-17,18.82,18.83,18.32,18.52,37332810
8-Feb-17,19.05,19.27,18.76,18.88,41253708
7-Feb-17,18.79,19.00,18.74,18.98,29142322
6-Feb-17,19.03,19.09,18.72,18.80,33742801
3-Feb-17,18.84,18.96,18.62,18.82,33420650
2-Feb-17,19.24,19.41,19.04,19.20,32993425
1-Feb-17,19.03,19.33,18.85,19.10,41837759
31-Jan-17,19.67,20.03,19.39,19.42,50772828
30-Jan-17,19.35,20.32,19.35,19.50,66029293
27-Jan-17,19.11,19.29,18.89,18.97,27965347
26-Jan-17,19.15,19.40,18.97,19.17,34004684
25-Jan-17,19.25,19.35,19.00,19.09,39183884
24-Jan-17,20.26,20.29,19.45,19.56,41002837
23-Jan-17,20.71,21.10,20.50,20.50,39760792
20-Jan-17,21.30,21.38,20.68,20.71,56197602
19-Jan-17,21.16,21.73,21.10,21.54,36615824
18-Jan-17,21.23,21.41,20.98,21.31,39470926
17-Jan-17,21.75,21.82,21.29,21.39,35706836
13-Jan-17,21.30,21.70,21.16,21.45,35721954
12-Jan-17,21.59,22.51,21.38,21.40,52942752
